а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
а-ажа	а-ажа (абх.) Fraxinus L. Уапшы жачIвы\n1. ясень;\n
а-ажс	а-ажс (абх.) Rubus caesius L. Уапшы жвумпаларчIва\n1. ежевика сизая;\n2. ожина;\n
а-ажь	а-ажь (абх.) Vitvinifera L.\n1. виноград культурный;\n
а-ажьапшь	а-ажьапшь (абх.) Vitvinifera L.\n1. виноград культурный (сорт винограда культурного);\n
а-алымшьдзахуа	а-алымшьдзахуа (абх.) Clematvitalba L.\n1. ломонос винограднолистный;\nКустарник с длинными лазящими стволами. Листья перистые, продолговато-ланцетные, сидящие на довольно длинных черешках.Цветки — щитковидно-метельчатое соцветие, венчик белый. Плод — семянка.Растет в лесах, на опушках, среди кустарников. В народной медицине находит применение.
а-амжа	а-амжа (абх.) Morus L.\n1. шелковица;\n2. тута (тутовое дерево);\n
а-амтва	а-амтва (абх.) Morus alba L. Уапшы жвумпшкIвокIва\n1. шелковица белая;\n2. тута белая (тутовое дерево белое);\n
а-апса	а-апса (абх.) Abies nordmanniana (Stev.) Spach.\n1. пихта кавказская;\nДает ценную древесину, скипидар, терпентин и др. продукты. Декоративна, имеются формы с разной кроной.
а-апш	а-апш (абх.) Zea mays L. Уапшы нартыхв\n1. кукуруза;\n
а-ахьа	а-ахьа (абх.) Castanea sativa Mill. Уапшы адгьылраса\n1. каштан посевной;\n2. каштан культурный;\n
а-ахьарпара	а-ахьарпара (абх.) Castanea sativa Mill.\n1. каштан посевной, культурный (плод каштана посевного, каштана культурного);\n
а-ацва	а-ацва (абх.) Malus Miller.\n1. яблоня (плод яблони);\n
а-ацва-цла	а-ацва-цла (абх.) Malus Miller. Уапшы чIва\n1. яблоня;\n
а-ацыцындра	а-ацыцындра (абх.) Duchesnea indica (Andrews) Focke.\n1. дюшеснея индийская;\nЗаносное растение из тропической Азии. Стебли длинные, ползучие, укореняющиеся в узлах, от которых отходит по 1 листу и одноцветковому цветоносу Листья тройчатые, их листочки яйцевидные, крупнозубчатые. Плоды ярко-красные, сочные. Цветет и плодоносит почти круглый год.Весьма обычное растение низменностей и предгорий до 400 м. Декоративна.
а-бадр-йабач	а-бадр-йабач (абх.) Portulaca oleracea L.\n1. портулак огородный;\n
а-бажвш	а-бажвш (абх.) Vitvinifera L.\n1. виноград белый (сорт белого винограда);\n
